CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL521447	500332	CHEMBL521447	500332		27	526.25	5.9	92.34	2	Clc1cc(Cl)cc(c1)S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(Cl)cc(Cl)c3)cc2	2634434	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL521464	500695	CHEMBL521464	500695		48	513.47	5.83	92.34	2	Cc1c(C)c(NS(=O)(=O)c2ccc(Cl)cc2)c(C)c(C)c1NS(=O)(=O)c3ccc(Cl)cc3	2634455	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL482442	500333	CHEMBL482442	500333		28	595.14	7.21	92.34	2	Clc1cc(Cl)c(cc1Cl)S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cc(Cl)c(Cl)cc3Cl)cc2	2634435	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL485244	500397	CHEMBL485244	500397		29	440.9	4.08	92.34	0	Fc1ccc(cc1)S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2	2634436	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL449775	472432	CHEMBL449775	472432		45	278.29	1.22	74.6	0	CCCCCCS(=O)(=O)CC(O)(O)C(F)(F)F	2267227	Ki	=	.7079	nM	9.15	pKi	=	9.15				0				560263	CHEMBL1019602	B	Inhibition of human carboxylesterase 1 after 24 hrs	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL362996	320976	CHEMBL362996	320976		37	342.35	3.82	68.28	0	O=C(C(=O)c1ccc(cc1)C(=O)C(=O)c2ccccc2)c3ccccc3	1502092	Ki	=	8	nM	8.1	Ki	=	8	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL1812855	1167882	CHEMBL1812855	1167882		11	170.25	2.51	34.14	0	CCCCC(=O)C(=O)CCCC	6317237	Ki	=	46.6	nM	7.33	Ki	=	46.6	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	762141	CHEMBL1816212	B	Inhibition of human liver carboxylesterase1 using o-nitrophenyl acetate as substrate after 5 mins by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	58561	CHEMBL1811796	21733699	Bioorg. Med. Chem.	2011	19	15	4635					
CHEMBL193229	321147	CHEMBL193229	321147		12	282.19	3.31	34.14	0	Fc1cc(F)cc(c1)C(=O)C(=O)c2cc(F)cc(F)c2	1503516	Ki	=	73.5	nM	7.13	Ki	=	73.5	nM			1	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL193140	320955	CHEMBL193140	320955		12	238.29	3.37	34.14	0	Cc1ccc(cc1C)C(=O)C(=O)c2ccccc2	2267358	Ki	=	100	nM	7	pKi	=	7				0				560257	CHEMBL1019596	B	Inhibition of human carboxylesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL189886	318383	CHEMBL189886	318383	BENZIL	2 (Benzil)	210.23	2.75	34.14	0	O=C(C(=O)c1ccccc1)c2ccccc2	1494034	Ki	=	103	nM	6.99	Ki	=	103	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303802	CHEMBL829851	B	Inhibition constant against human liver carboxylesterase (hCE1) expressed in Sf21 cells using 3 mM o-NPA	1	Scientific Literature	Oryctolagus cuniculus		9986	Expert	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	8	Homologous protein			21424	CHEMBL1141162	16107154	J. Med. Chem.	2005	48	17	5543					
CHEMBL365445	318692	CHEMBL365445	318692		26	222.29	2.88	34.14	0	O=C(C(=O)c1cccs1)c2cccs2	2267346	Ki	=	213.8	nM	6.67	pKi	=	6.67				0				560257	CHEMBL1019596	B	Inhibition of human carboxylesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL244425	391570	CHEMBL244425	391570		6	284.21	3.16	37.3	0	OC(C(=O)c1ccc(F)cc1F)c2ccc(F)cc2F	1942239	Ki	=	480	nM	6.32	Ki	=	480	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	443528	CHEMBL893785	B	Inhibition of human carboxylesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	36499	CHEMBL1147944	17399985	Bioorg. Med. Chem.	2007	15	11	3801					
CHEMBL385132	371633	CHEMBL385132	371633		25	331.17	3.05	49.41	0	Brc1ccc(NCN2C(=O)C(=O)c3ccccc23)cc1	1830012	Ki	=	580	nM	6.24	Ki	=	.58	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	429504	CHEMBL918627	B	Inhibition of human liver CE1 expressed in sf21 cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	35258	CHEMBL1144473	17378546	J. Med. Chem.	2007	50	8	1876					
CHEMBL1630814	1053005	CHEMBL1630814	1053005		15k	364.79	4.05	76.13	0	Clc1cccc(c1)C(=O)Nc2cccc(c2)C(=O)C(=O)c3ccccn3	5109322	Ki	=	756	nM	6.12	Ki	=	756	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	697897	CHEMBL1632957	B	Inhibition of human intestinal CE1 using O-nitrophenyl acetate as substrate by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	54255	CHEMBL1629454	21105730	J. Med. Chem.	2010	53	24	8709					
CHEMBL395654	403252	CHEMBL395654	403252		12	187.2	1.16	37.38	0	O=C1N2CCCc3cccc(C1=O)c23	1998210	Ki	=	1540	nM	5.81	Ki	=	1540	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	451017	CHEMBL900098	B	Inhibition of human carboxylesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	37157	CHEMBL1138234	17941623	J. Med. Chem.	2007	50	23	5727					
CHEMBL116649	194538	CHEMBL116649	194538		36	231.13	1.72	55.4	0	FC(F)(F)Oc1ccc2NC(=O)C(=O)c2c1	1830110	Ki	=	16500	nM	4.78	Ki	=	16.5	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	429504	CHEMBL918627	B	Inhibition of human liver CE1 expressed in sf21 cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	35258	CHEMBL1144473	17378546	J. Med. Chem.	2007	50	8	1876					
CHEMBL221362	371748	CHEMBL221362	371748		21	342.35	2.31	77.1	0	COc1cc(NCN2C(=O)C(=O)c3ccccc23)cc(OC)c1OC	1830015	Ki	=	19500	nM	4.71	Ki	=	19.5	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	429504	CHEMBL918627	B	Inhibition of human liver CE1 expressed in sf21 cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	35258	CHEMBL1144473	17378546	J. Med. Chem.	2007	50	8	1876					
CHEMBL374758	371630	CHEMBL374758	371630		24	331.17	3.05	49.41	0	Brc1ccccc1NCN2C(=O)C(=O)c3ccccc23	1830013	Ki	=	36000	nM	4.44	Ki	=	36	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	429504	CHEMBL918627	B	Inhibition of human liver CE1 expressed in sf21 cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	35258	CHEMBL1144473	17378546	J. Med. Chem.	2007	50	8	1876					
CHEMBL244213	391569	CHEMBL244213	391569		5	248.23	2.88	37.3	0	OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2	1942240	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	443528	CHEMBL893785	B	Inhibition of human carboxylesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			36499	CHEMBL1147944	17399985	Bioorg. Med. Chem.	2007	15	11	3801					
CHEMBL191800	320887	CHEMBL191800	320887		52	154.21	1.58	34.14	0	CC1CC(C)(C)CC(=O)C1=O	1502511	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL519072	500627	CHEMBL519072	500627		46	480.56	4.8	92.34	0	Cc1c(C)c(NS(=O)(=O)c2ccc(F)cc2)c(C)c(C)c1NS(=O)(=O)c3ccc(F)cc3	2634453	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL499975	500014	CHEMBL499975	500014		5	311.79	3.54	55.4	0	CCOc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1	2634413	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL483071	500472	CHEMBL483071	500472		35	438.48	3.87	92.34	0	Cc1ccc(cc1)S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(F)c(F)c3)cc2	2634442	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL484276	500066	CHEMBL484276	500066		10	507.42	5.75	92.34	2	Clc1ccc(cc1)S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)c4ccccc24	2634418	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL488335	500013	CHEMBL488335	500013		4	416.52	3.91	92.34	0	Cc1cc(C)c(NS(=O)(=O)c2ccccc2)cc1NS(=O)(=O)c3ccccc3	2634412	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	520160	CHEMBL947848	B	Inhibition of human liver CE1-mediated O-nitrophenyl acetate hydrolysis by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			46828	CHEMBL1137015	19534556	J. Med. Chem.	2009	52	12	3742					
CHEMBL442046	371644	CHEMBL442046	371644		28	175.19	1.38	46.17	0	CCc1cccc2NC(=O)C(=O)c12	1830174	Ki	>	100000	nM		Ki	>	100	uM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	429504	CHEMBL918627	B	Inhibition of human liver CE1 expressed in sf21 cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			35258	CHEMBL1144473	17378546	J. Med. Chem.	2007	50	8	1876					
CHEMBL364893	318800	CHEMBL364893	318800		8 (Furoin)	192.17	1.79	63.58	0	OC(C(=O)c1occc1)c2occc2	1494167	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303802	CHEMBL829851	B	Inhibition constant against human liver carboxylesterase (hCE1) expressed in Sf21 cells using 3 mM o-NPA	1	Scientific Literature	Oryctolagus cuniculus		9986	Expert	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	8	Homologous protein			21424	CHEMBL1141162	16107154	J. Med. Chem.	2005	48	17	5543					
CHEMBL370299	320768	CHEMBL370299	320768		38	272.3	2.62	55.76	0	COc1ccc(cc1)C(O)C(=O)c2ccc(OC)cc2	1502236	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL189886	318383	CHEMBL189886	318383	BENZIL	1	210.23	2.75	34.14	0	O=C(C(=O)c1ccccc1)c2ccccc2	6317192	Ki	=	15	nM	7.82	Ki	=	15	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	762141	CHEMBL1816212	B	Inhibition of human liver carboxylesterase1 using o-nitrophenyl acetate as substrate after 5 mins by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	58561	CHEMBL1811796	21733699	Bioorg. Med. Chem.	2011	19	15	4635					
CHEMBL467451	472354	CHEMBL467451	472354		38	334.4	2.79	74.6	0	CCCCCCCCCCS(=O)(=O)CC(O)(O)C(F)(F)F	2267285	Ki	=	794.33	nM	6.1	pKi	=	6.1				0				560260	CHEMBL1019599	B	Inhibition of human carboxylesterase 1 after 5 mins	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL235288	403249	CHEMBL235288	403249		9	146.14	.99	34.14	0	O=C1Cc2ccccc2C1=O	1998213	Ki	=	5240	nM	5.28	Ki	=	5240	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	451017	CHEMBL900098	B	Inhibition of human carboxylesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	37157	CHEMBL1138234	17941623	J. Med. Chem.	2007	50	23	5727					
CHEMBL192258	320762	CHEMBL192258	320762		17	148.16	1.46	34.14	0	CC(=O)C(=O)c1ccccc1	6317243	Ki	=	5270	nM	5.28	Ki	=	5270	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	762141	CHEMBL1816212	B	Inhibition of human liver carboxylesterase1 using o-nitrophenyl acetate as substrate after 5 mins by spectrophotometry	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	58561	CHEMBL1811796	21733699	Bioorg. Med. Chem.	2011	19	15	4635					
CHEMBL364729	320989	CHEMBL364729	320989		55	245.88	2.52	34.14	0	ClC1=C(Cl)C(=O)C(=O)C(=C1Cl)Cl	1502639	Ki	=	5440	nM	5.26	Ki	=	5440	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL371181	319110	CHEMBL371181	319110		9 (2,2'-furil)	190.15	1.94	60.42	0	O=C(C(=O)c1occc1)c2occc2	1494272	Ki	=	8480	nM	5.07	Ki	=	8480	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303802	CHEMBL829851	B	Inhibition constant against human liver carboxylesterase (hCE1) expressed in Sf21 cells using 3 mM o-NPA	1	Scientific Literature	Oryctolagus cuniculus		9986	Expert	BAO_0000219	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	8	Homologous protein			21424	CHEMBL1141162	16107154	J. Med. Chem.	2005	48	17	5543					
CHEMBL371523	321183	CHEMBL371523	321183	DIBENZOYLMETHANE	5	224.26	3.14	34.14	0	O=C(CC(=O)c1ccccc1)c2ccccc2	1502116	Ki	=	26000	nM	4.58	Ki	=	26000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL460808	472431	CHEMBL460808	472431		44	262.29	1.56	57.53	0	CCCCCC[S+]([O-])CC(O)(O)C(F)(F)F	2267279	Ki	=	79432.82	nM	4.1	pKi	=	4.1				0				560260	CHEMBL1019599	B	Inhibition of human carboxylesterase 1 after 5 mins	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein	COesterase	high	45052	CHEMBL1139338	19062296	Bioorg. Med. Chem.	2009	17	1	149					
CHEMBL242296	391593	CHEMBL242296	391593		32	482.22	6.83	34.14	1	FC(F)(F)c1ccc(C(=O)C(=O)c2ccc(cc2C(F)(F)F)C(F)(F)F)c(c1)C(F)(F)F	1942212	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	443528	CHEMBL893785	B	Inhibition of human carboxylesterase 1	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			36499	CHEMBL1147944	17399985	Bioorg. Med. Chem.	2007	15	11	3801					
CHEMBL8320	3765	CHEMBL8320	3765	BENZOQUINONE	53	108.1	.25	34.14	0	O=C1C=CC(=O)C=C1	1502516	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
CHEMBL192809	320958	CHEMBL192809	320958	2,3-PENTANEDIONE	43	100.12	.55	34.14	0	CCC(=O)C(=O)C	1502364	Ki	>	100000	nM		Ki	>	100000	nM			0	BAO_0000192	UO_0000065	http://www.openphacts.org/units/Nanomolar	303291	CHEMBL828284	B	Inhibition constant against human liver carboxylesterase 1 (hCE1) using nitrophenyl acetate (o-NPA) as substrate	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000019	11627	CHEMBL2265	SINGLE PROTEIN	P23141	Acyl coenzyme A:cholesterol acyltransferase	Homo sapiens	9	Protein			21668	CHEMBL1143603	15828829	J. Med. Chem.	2005	48	8	2906					
